zip_code,devices,households
26591,90,69
26656,178,112
26690,198,125
27534,474,241
27801,3846,2431
27803,4976,3054
27804,7002,4466
27809,381,236
27812,378,265
27817,1513,936
27819,46,28
27822,415,220
27823,332,226
27825,20,14
27834,12805,8326
27837,1081,629
27856,1659,1087
27857,7,5
27858,14512,9487
27861,9,3
27871,457,308
27874,374,273
27878,358,238
27879,42,29
27884,106,55
27886,3669,2462
27889,6208,4058
27892,2594,1695
28501,3916,2715
28504,5266,3272
28513,1537,999
28519,142,94
28523,62,36
28525,51,34
28530,50,30
28551,1579,951
28560,5995,3945
28562,11915,7559
28573,56,32
28586,655,417
28590,8057,4769
28712,1724,1303
28747,220,161
28766,107,87
28768,418,306
28772,259,201
28774,63,49
29058,534,361
29067,582,422
29403,69,43
29405,965,643
29406,1309,979
29407,1925,1438
29410,17,11
29412,1699,1247
29414,1921,1421
29418,1137,787
29420,1066,754
29440,566,399
29456,447,334
29464,2302,1572
29466,679,474
29483,1100,831
29485,1459,1062
29511,1138,788
29526,9037,6086
29527,4085,2764
29528,557,266
29544,875,627
29545,227,148
29566,1841,1230
29568,2984,1974
29569,3080,2000
29571,1,1
29572,1043,907
29575,782,511
29576,5056,3153
29577,1202,857
29578,98,62
29579,5576,3530
29581,186,114
29582,1995,1371
29585,464,353
29587,56,32
29588,4739,3027
29589,1,1
29704,764,481
29707,3385,2230
29708,6844,4063
29710,2217,1455
29712,293,194
29714,271,176
29715,7927,5135
29717,79,47
29720,9429,6525
29721,2,1
29730,14428,9451
29732,16531,10445
29742,115,76
29745,3243,2183
29901,293,124
29902,7440,3374
29903,289,124
29904,141,113
29905,82,60
29906,6276,2754
29907,1758,737
29909,7347,2737
29925,155,61
29926,5336,2167
29927,2754,1185
29928,7616,2594
29931,83,31
29935,1745,920
29936,2429,1008
29938,180,59
29940,767,306
29941,133,52
29945,275,90
30107,459,299
30114,70,41
30139,22,12
30143,2111,1329
30146,1,1
30151,32,18
30175,603,403
30177,77,51
30183,1,1
30513,1036,666
30522,143,90
30536,855,529
30539,174,106
30540,2147,1328
30541,182,121
30555,304,201
30559,206,142
30560,112,65
30809,3267,2082
30813,825,536
30815,716,416
30901,265,172
30904,1849,1267
30905,10,1
30906,1969,1170
30907,4394,2967
30909,3560,2409
31322,3669,1523
31808,88,52
31820,165,108
31833,274,169
31901,524,391
31903,1159,788
31904,4905,3441
31905,5,2
31906,2124,1425
31907,5746,3947
31909,7901,5692
32401,2514,1730
32404,2742,1906
32405,3146,2223
32407,2240,1581
32408,2524,1759
32413,2129,1478
32444,3563,2392
32459,84,55
33065,4037,2781
33067,1518,1013
33071,3397,2197
33076,1312,818
33326,2652,1612
33327,2681,1604
33331,1943,1246
33332,550,261
33701,463,362
33702,793,576
33703,276,181
33704,148,100
33705,384,244
33707,91,60
33708,111,88
33709,461,318
33710,482,315
33711,321,187
33712,454,254
33713,557,367
33714,536,386
33715,1,1
33716,171,133
33755,685,465
33756,612,452
33759,294,206
